berkeley_neural_parser_result,item,condition,disambPosition,Sentence,ambiguous,Question,Option1,Option0,Answer,Ambiguity targeted?
(S (NP (DT The) (NN suspect)) (VP (VBD showed) (SBAR (IN that) (S (NP (DT the) (NN file)) (VP (VBD deserved) (NP (JJ further) (NN investigation)) (PP (IN during) (NP (DT the) (NN murder) (NN trial))))))) (. .)),1,NPS_UAMB,7,The suspect showed that the file deserved further investigation during the murder trial.,0,Who drew attention to the file during the trial?,The suspect,The lawyer,1,X
"(S (SBAR (IN Because) (S (NP (DT the) (NN suspect)) (VP (VBD changed)))) (, ,) (NP (DT the) (NN file)) (VP (VBD deserved) (NP (JJ further) (NN investigation)) (PP (IN during) (NP (DT the) (NN jury) (NNS discussions)))) (. .))",1,NPZ_UAMB,7,"Because the suspect changed, the file deserved further investigation during the jury discussions.",0,Did the suspect change the file?,Yes,No,0,X
(S (NP (NP (DT The) (NN suspect)) (SBAR (WHNP (WP who)) (S (VP (VBD was) (VP (VBN sent) (NP (DT the) (NN file))))))) (VP (VBD deserved) (NP (JJ further) (NN investigation)) (PP (VBN given) (NP (DT the) (JJ new) (NN evidence)))) (. .)),1,MVRR_UAMB,8,The suspect who was sent the file deserved further investigation given the new evidence.,0,Did the suspect send the file to someone?,Yes,No,0,X
(S (NP (DT The) (JJ corrupt) (NN politician)) (VP (VBD mentioned) (SBAR (IN that) (S (NP (DT the) (NN bill)) (VP (VBD received) (NP (JJ unwelcome) (NN attention)) (PP (IN from) (NP (JJ southern) (NNS voters))))))) (. .)),2,NPS_UAMB,8,The corrupt politician mentioned that the bill received unwelcome attention from southern voters.,0,Did the bill receive any negative attention?,Yes,No,1,X
"(S (SBAR (IN After) (S (NP (DT the) (JJ corrupt) (NN politician)) (VP (VBN signed)))) (, ,) (NP (DT the) (NN bill)) (VP (VBD received) (NP (JJ unwelcome) (NN attention)) (PP (IN from) (NP (JJ southern) (NNS voters)))) (. .))",2,NPZ_UAMB,8,"After the corrupt politician signed, the bill received unwelcome attention from southern voters.",0,Did the southern voters disapprove of the bill?,Yes,No,1,X
(S (NP (NP (DT The) (JJ corrupt) (NN politician)) (SBAR (WHNP (WP who)) (S (VP (VBD was) (VP (VBN handed) (NP (DT the) (NN bill))))))) (VP (VBD received) (NP (JJ unwelcome) (NN attention)) (PP (IN from) (NP (JJ southern) (NNS voters)))) (. .)),2,MVRR_UAMB,9,The corrupt politician who was handed the bill received unwelcome attention from southern voters.,0,Did the politician hand the bill to someone?,Yes,No,0,X
(S (NP (DT The) (NN woman)) (VP (VBD maintained) (SBAR (IN that) (S (NP (DT the) (NN mail)) (VP (VBD disappeared) (ADVP (RB mysteriously)) (PP (IN from) (NP (PRP$ her) (JJ front) (NN porch))))))) (. .)),3,NPS_UAMB,7,The woman maintained that the mail disappeared mysteriously from her front porch.,0,Could the woman find the mail?,Yes,No,0,
"(S (SBAR (IN After) (S (NP (DT the) (NN woman)) (VP (VBD moved)))) (, ,) (NP (DT the) (NN mail)) (VP (VBD disappeared) (ADVP (RB mysteriously)) (PP (IN from) (NP (DT the) (NN delivery) (NN system)))) (. .))",3,NPZ_UAMB,7,"After the woman moved, the mail disappeared mysteriously from the delivery system.",0,Did the woman move the mail?,Yes,No,0,X
(S (NP (NP (DT The) (NN woman)) (SBAR (WHNP (WP who)) (S (VP (VBD was) (VP (VBN brought) (NP (DT the) (NN mail))))))) (VP (VBD disappeared) (ADVP (RB mysteriously)) (PP (IN after) (S (VP (VBG reading) (NP (DT the) (JJ bad) (NN news)) (PP (IN in) (NP (PRP it))))))) (. .)),3,MVRR_UAMB,8,The woman who was brought the mail disappeared mysteriously after reading the bad news in it.,0,Did the woman receive the mail?,Yes,No,1,X
(S (NP (DT The) (NN boy)) (VP (VBD found) (SBAR (IN that) (S (NP (DT the) (NN chicken)) (VP (VBD stayed) (ADJP (RB surprisingly) (JJ happy)) (PP (IN in) (NP (DT the) (JJ new) (NN barn))))))) (. .)),4,NPS_UAMB,7,The boy found that the chicken stayed surprisingly happy in the new barn.,0,Was the chicken satisfied in the new barn?,Yes,No,1,X
