berkeley_neural_parser_result,item,condition,targetPosition,Sentence,,Option1,Option0,Ans,,,,,,,
(S (NP (NP (DT The) (NN bus) (NN driver)) (SBAR (WHNP (WP who)) (S (VP (VBD followed) (NP (DT the) (NNS kids)))))) (VP (VBD wondered) (PP (IN about) (NP (NP (DT the) (NN location)) (PP (IN of) (NP (DT a) (NN hotel)))))) (. .)),25,RC_Subj,5,The bus driver who followed the kids wondered about the location of a hotel.,Who was being followed?,The bus driver,The kids,0,RC-Gap,1,,,,,
(S (NP (NP (DT The) (NN bus) (NN driver)) (SBAR (WHNP (WP who)) (S (NP (DT the) (NNS kids)) (VP (VBD followed))))) (VP (VBD wondered) (PP (IN about) (NP (NP (DT the) (NN location)) (PP (IN of) (NP (DT a) (NN hotel)))))) (. .)),25,RC_Obj,7,The bus driver who the kids followed wondered about the location of a hotel.,Who was being followed?,The bus driver,The kids,1,RC-Gap,,,,1,,
(S (NP (NP (DT The) (NN chef)) (SBAR (WHNP (WP who)) (S (VP (VBD distracted) (NP (DT the) (NN cameraman)))))) (VP (VBD poured) (NP (DT the) (NN flour)) (PP (IN onto) (NP (DT the) (NN counter)))) (. .)),26,RC_Subj,4,The chef who distracted the cameraman poured the flour onto the counter.,Who was being distracted?,The chef,The cameraman,0,RC-Gap,1,,,,,
(S (NP (NP (DT The) (NN chef)) (SBAR (WHNP (WP who)) (S (NP (DT the) (NN cameraman)) (VP (VBD distracted))))) (VP (VBD poured) (NP (DT the) (NN flour)) (PP (IN onto) (NP (DT the) (NN counter)))) (. .)),26,RC_Obj,6,The chef who the cameraman distracted poured the flour onto the counter.,Who was being distracted?,The chef,The cameraman,1,RC-Gap,,,,1,,
(S (NP (NP (DT The) (NNS children)) (SBAR (WHNP (WP who)) (S (VP (VBD woke) (NP (DT the) (NN father)))))) (VP (VBD bothered) (NP (PRP him)) (PP (IN about) (NP (NP (DT the) (NN trip)) (PP (TO to) (NP (DT the) (NN beach)))))) (. .)),27,RC_Subj,4,The children who woke the father bothered him about the trip to the beach.,Who was woken up?,The children,The father,0,RC-Gap,,,,1,,
(S (NP (NP (DT The) (NNS children)) (SBAR (WHNP (WP who)) (S (NP (DT the) (NN father)) (VP (VBD woke))))) (VP (VBD bothered) (NP (PRP him)) (PP (IN about) (NP (NP (DT the) (NN trip)) (PP (TO to) (NP (DT the) (NN beach)))))) (. .)),27,RC_Obj,6,The children who the father woke bothered him about the trip to the beach.,Who was woken up?,The children,The father,1,RC-Gap,1,,,,,
(S (NP (NP (DT The) (NN class)) (SBAR (WHNP (WDT that)) (S (VP (VBD disliked) (NP (DT the) (NN teacher)))))) (VP (VBD skimmed) (NP (DT the) (NN reading)) (PP (IN for) (NP (DT the) (NN week)))) (. .)),28,RC_Subj,4,The class that disliked the teacher skimmed the reading for the week.,Who was disliked?,The class,The teacher,0,RC-Gap,,,,1,,
(S (NP (NP (DT The) (NN class)) (SBAR (WHNP (IN that)) (S (NP (DT the) (NN teacher)) (VP (VBD disliked))))) (VP (VBD skimmed) (NP (DT the) (NN reading)) (PP (IN for) (NP (DT the) (NN week)))) (. .)),28,RC_Obj,6,The class that the teacher disliked skimmed the reading for the week.,Who was disliked?,The class,The teacher,1,RC-Gap,1,,,,,
(S (NP (NP (DT The) (NN dancer)) (SBAR (WHNP (WDT that)) (S (VP (VBD loved) (NP (DT the) (NN audience)))))) (VP (VBD ignored) (NP (DT some) (JJ basic) (NNS principles))) (. .)),29,RC_Subj,4,The dancer that loved the audience ignored some basic principles.,Who was loved?,The dancer,The audience,0,RC-Gap,,1,,,,
(S (NP (NP (DT The) (NN dancer)) (SBAR (WHNP (IN that)) (S (NP (DT the) (NN audience)) (VP (VBD loved))))) (VP (VBD ignored) (NP (DT some) (JJ basic) (NNS principles))) (. .)),29,RC_Obj,6,The dancer that the audience loved ignored some basic principles.,Who was loved?,The dancer,The audience,1,RC-Gap,,,,,1,
(S (NP (NP (DT The) (NNS employees)) (SBAR (WHNP (WDT that)) (S (VP (VBD noticed) (NP (DT the) (NN fireman)))))) (VP (VBD hurried) (PP (IN across) (NP (DT the) (JJ open) (NN field)))) (. .)),30,RC_Subj,4,The employees that noticed the fireman hurried across the open field.,Who was noticed?,The employees,The fireman,0,RC-Gap,,1,,,,
(S (NP (NP (DT The) (NNS employees)) (SBAR (WHNP (IN that)) (S (NP (DT the) (NN fireman)) (VP (VBD noticed))))) (VP (VBD hurried) (PP (IN across) (NP (DT the) (JJ open) (NN field)))) (. .)),30,RC_Obj,6,The employees that the fireman noticed hurried across the open field.,Who was noticed?,The employees,The fireman,1,RC-Gap,,,,,1,
(S (NP (NP (DT The) (NN farmer)) (SBAR (WHNP (WDT that)) (S (VP (VBD approached) (NP (DT the) (NNS customers)))))) (VP (VBD lifted) (NP (DT the) (NNS chickens)) (PP (IN from) (NP (PRP$ their) (NN coop)))) (. .)),31,RC_Subj,4,The farmer that approached the customers lifted the chickens from their coop.,Who was approached?,The customers,The farmer,1,RC-Gap,,,,,1,
(S (NP (NP (DT The) (NN farmer)) (SBAR (WHNP (IN that)) (S (NP (DT the) (NNS customers)) (VP (VBD approached))))) (VP (VBD lifted) (NP (DT the) (NNS chickens)) (PP (IN from) (NP (PRP$ their) (NN coop)))) (. .)),31,RC_Obj,6,The farmer that the customers approached lifted the chickens from their coop.,Who was approached?,The customers,The farmer,0,RC-Gap,,1,,,,
