berkeley_neural_parser_result,item#_in_Provo,item,Sentence,Question,Option1,Option0,Correct answer
"(S (NP (EX There)) (VP (VBP are) (ADVP (RB now)) (NP (NNS rumblings) (SBAR (IN that) (S (NP (NNP Apple)) (VP (MD might) (ADVP (RB soon)) (VP (VB invade) (NP (DT the) (NNP smart) (NNP watch) (NN space))))))) (, ,) (SBAR (IN though) (S (NP (DT the) (NN company)) (VP (VBZ is) (VP (VBG maintaining) (NP (PRP$ its) (JJ customary) (NN silence))))))) (. .))",1,73,"There are now rumblings that Apple might soon invade the smart watch space, though the company is maintaining its customary silence.",Which market is Apple rumored to enter?,Smart watches,Self-driving cars,1
"(S (NP (DT A) (NN bill)) (VP (VP (VBD was) (VP (VP (VBN drafted)) (CC and) (VP (VBN introduced) (PP (IN into) (NP (NN Parliament)))) (NP (JJ several) (NNS times)))) (CC but) (VP (VBN met) (PP (IN with) (NP (NP (JJ great) (NN opposition)) (, ,) (PP (ADVP (RB mostly)) (IN from) (NP (NNS farmers))))))) (. .))",28,74,"A bill was drafted and introduced into Parliament several times but met with great opposition, mostly from farmers.",Who hates the bill most?,Construction workers,Farmers,0
"(S (NP (DT The) (JJ human) (NN body)) (VP (MD can) (VP (VB tolerate) (NP (NP (RB only) (DT a) (JJ small) (NN range)) (PP (IN of) (NP (NN temperature)))) (, ,) (SBAR (ADVP (RB especially)) (WHADVP (WRB when)) (S (NP (DT the) (NN person)) (VP (VBZ is) (VP (VBN engaged) (PP (IN in) (NP (JJ vigorous) (NN activity))))))))) (. .))",8,75,"The human body can tolerate only a small range of temperature, especially when the person is engaged in vigorous activity.",At which point are people resistent to a wider range of temperature?,When sleeping,When exercising,0
"(S (S (VP (VBG Seeing) (S (NP (NNP Peter)) (VP (ADVP (RB slowly)) (VBG advancing) (PP (IN upon) (NP (PRP him))) (PP (IN through) (NP (DT the) (NN air))) (PP (IN with) (S (NP (NN dagger)) (VP (VBN poised)))))))) (, ,) (NP (PRP he)) (VP (VBD sprang) (PP (IN upon) (NP (DT the) (NNS bulwarks))) (S (VP (TO to) (VP (VB cast) (NP (PRP himself)) (PP (IN into) (NP (DT the) (NN sea))))))) (. .))",6,76,"Seeing Peter slowly advancing upon him through the air with dagger poised, he sprang upon the bulwarks to cast himself into the sea.",Did the man escape Peter\'s attempt to attack?,Yes,No,1
"(S (ADVP (NP (DT Some) (NNS months)) (RB later)) (, ,) (NP (NNP Michael) (NNP Larson)) (VP (VBD saw) (NP (DT another) (NN opportunity) (S (VP (TO to) (VP (VB stack) (NP (DT the) (NNS odds)) (PP (IN in) (NP (PRP$ his) (NN favor))) (PP (IN with) (NP (NP (DT a) (NN dash)) (PP (IN of) (NP (NN ingenuity)))))))))) (. .))",12,77,"Some months later, Michael Larson saw another opportunity to stack the odds in his favor with a dash of ingenuity.",Did Larson see more than one opportunity?,Yes,No,1
"(S (NP (NP (NNP Bob) (NNP Murphy)) (, ,) (NP (NP (DT the) (JJ Senior) (NNP PGA) (NNP Tour) (NN money) (NN leader)) (PP (IN with) (NP (QP (CD seven) (CD hundred) (CD thousand))))) (, ,)) (VP (VBZ says) (SBAR (S (NN heat) (RB shouldn\'t) (VP (VB be) (NP (DT a) (NN factor)))))) (. .))",13,78,"Bob Murphy, the Senior PGA Tour money leader with seven hundred thousand, says heat should n't be a factor.",Is the leader cocnered about the weather?,Yes,No,0
"(S (NP (NP (NNP Greg) (NNP Anderson)) (, ,) (VP (VBN considered) (S (NP (NP (DT a) (JJ key) (NN witness)) (PP (IN by) (NP (DT the) (NN prosecution)))))) (, ,)) (VP (VBD vowed) (SBAR (S (PRP he) (RB wouldn\'t) (VP (VB testify) (SBAR (WHADVP (WRB when)) (S (VP (VBD served) (NP (DT a) (NN subpoena)) (NP (JJ last) (NN week))))))))) (. .))",15,79,"Greg Anderson, considered a key witness by the prosecution, vowed he would n't testify when served a subpoena last week.",Was Greg Anderson asked to testify?,Yes,No,1
(S (NP (NNS Owls)) (VP (VBP are) (ADJP (ADJP (RBR more) (JJ flexible)) (PP (IN than) (NP (NNS humans)))) (SBAR (IN because) (S (NP (NP (DT a) (NN bird\) (POS 's)) (NN head)) (VP (VBZ is) (ADVP (RB only)) (VP (VBN connected) (PP (IN by) (NP (CD one) (NN socket) (NN pivot)))))))) (. .)),17,80,Owls are more flexible than humans because a bird 's head is only connected by one socket pivot.,Are humans less flexible than owls?,Yes,No,1
"(S (PP (ADVP (RB Even)) (IN in) (NP (DT the) (JJ same) (NN animal))) (, ,) (NP (RB not) (DT all) (NNS bites)) (VP (VBP are) (NP (DT the) (JJ same))) (. .))",18,81,"Even in the same animal, not all bites are the same.","For a given animal, can you expect that some bites have different intensity? ",Yes,No,1
"(S (S (NP (NNP Buck)) (VP (VBD did) (RB not) (VP (VB like) (NP (PRP it))))) (, ,) (CC but) (S (NP (PRP he)) (VP (VBD bore) (PRT (RP up)) (ADVP (RB well)) (PP (TO to) (NP (DT the) (NN work))) (, ,) (S (VP (VBG taking) (NP (NN pride)) (PP (IN in) (NP (PRP it))))))) (. .))",20,82,"Buck did not like it, but he bore up well to the work, taking pride in it.",How did Buck deal with his job?,He quit,He carried on,0
