0.5258612052 @ADJP -> @ADJP
0.0538306036 @ADJP -> JJ CC
0.0530059593 @ADJP -> RB JJ
0.0449753948 @ADJP -> @ADJP CC
0.0305805667 @ADJP -> ADJP CC
0.0281824178 @ADJP -> @ADJP JJ
0.0254922398 @ADJP -> JJ ,
0.0228835113 @ADJP -> RB RB
0.0201879840 @ADJP -> @ADJP ,
0.0195671679 @ADJP -> ADJP ,
0.0141518459 @ADJP -> @ADJP ADJP
0.0133475975 @ADJP -> RBR JJ
0.0091525391 @ADJP -> @ADJP ''
0.0086950814 @ADJP -> @ADJP RB
0.0080868326 @ADJP -> `` JJ
0.0073759185 @ADJP -> RB RBR
0.0067222540 @ADJP -> JJ RB
0.0064580180 @ADJP -> `` RB
0.0063554746 @ADJP -> JJ PP
0.0054825600 @ADJP -> CD CD
0.0052239359 @ADJP -> @ADJP ``
0.0052148314 @ADJP -> RB VBN
0.0049185527 @ADJP -> JJR CC
0.0044569365 @ADJP -> @ADJP PP
0.0042510337 @ADJP -> $ CD
0.0041765340 @ADJP -> ADVP JJ
0.0040218846 @ADJP -> JJ NP
0.0039770267 @ADJP -> RBS JJ
0.0038061997 @ADJP -> NN CC
0.0036891596 @ADJP -> ADJP PP
0.0036029566 @ADJP -> DT JJ
0.0028884803 @ADJP -> NNP NNP
0.0026791199 @ADJP -> NNP ,
0.0025157769 @ADJP -> @ADJP IN
0.0024272926 @ADJP -> @ADJP NN
0.0024029480 @ADJP -> RB JJR
0.0021874425 @ADJP -> NN ,
0.0018372481 @ADJP -> JJ ADVP
0.0016802752 @ADJP -> @ADJP JJR
0.0016747776 @ADJP -> VBN CC
0.0016620422 @ADJP -> RB ``
0.0016426130 @ADJP -> @ADJP PRN
0.0016376066 @ADJP -> ADJP :
0.0015767347 @ADJP -> @ADJP :
0.0014569959 @ADJP -> `` ADJP
0.0013775225 @ADJP -> JJR ,
0.0013399046 @ADJP -> NP RBR
0.0013124418 @ADJP -> RBR ``
0.0013053802 @ADJP -> RB ,
0.0013053730 @ADJP -> NNP CC
0.0013052840 @ADJP -> CD JJ
0.0012824237 @ADJP -> ADJP PRN
0.0012280359 @ADJP -> JJ TO
0.0011926813 @ADJP -> NP JJR
0.0011914504 @ADJP -> NP JJ
0.0011559254 @ADJP -> CD NN
0.5259965282 @ADVP -> @ADVP
0.0917917945 @ADVP -> RB RB
0.0812865999 @ADVP -> RB NP
0.0442570740 @ADVP -> RB CC
0.0258429721 @ADVP -> NP RB
0.0210532771 @ADVP -> IN NP
0.0169229968 @ADVP -> ADVP CC
0.0166727296 @ADVP -> @ADVP CC
0.0163984203 @ADVP -> RB RBR
0.0153751534 @ADVP -> ADVP ,
0.0152037927 @ADVP -> RB JJ
0.0133619748 @ADVP -> CD TO
0.0133527135 @ADVP -> @ADVP RB
0.0110844258 @ADVP -> @ADVP PP
0.0091658004 @ADVP -> RB IN
0.0073800634 @ADVP -> IN CC
0.0061495485 @ADVP -> RBR CC
0.0049176175 @ADVP -> RBR IN
0.0048300837 @ADVP -> ADVP RB
0.0046235977 @ADVP -> ADVP PP
0.0040082250 @ADVP -> NP JJ
0.0039710826 @ADVP -> NP RBR
0.0038691988 @ADVP -> @ADVP ADVP
0.0038650600 @ADVP -> DT RB
0.0035125765 @ADVP -> IN JJS
0.0031626785 @ADVP -> RB DT
0.0027010511 @ADVP -> @ADVP ,
0.0026528302 @ADVP -> RB ''
0.0026350737 @ADVP -> @ADVP RBR
0.0025361561 @ADVP -> ADVP :
0.0024624699 @ADVP -> PDT DT
0.0024600190 @ADVP -> DT NN
0.0024491585 @ADVP -> JJ NN
0.0024479887 @ADVP -> RB ADVP
0.0022872131 @ADVP -> @ADVP IN
0.0019511803 @ADVP -> ADVP PRN
0.0018460192 @ADVP -> JJ CC
0.0018450734 @ADVP -> ADVP SBAR
0.0018450143 @ADVP -> NN TO
0.0018247674 @ADVP -> RBR RB
0.5118110236 @CONJP -> @CONJP
0.4881889764 @CONJP -> RB RB
0.5256427982 @NP -> @NP
0.0581344247 @NP -> @NP NP
0.0432693637 @NP -> NP ,
0.0341796356 @NP -> @NP NNP
0.0268309885 @NP -> DT JJ
0.0251631520 @NP -> @NP NN
0.0250037848 @NP -> @NP CC
0.0230977744 @NP -> NNP NNP
0.0229132523 @NP -> NP CC
0.0222131687 @NP -> NP PP
0.0220992934 @NP -> @NP ,
0.0218851082 @NP -> DT NN
0.0208589858 @NP -> DT NNP
0.0168800567 @NP -> NP :
0.0115945248 @NP -> @NP JJ
0.0074735706 @NP -> @NP PP
0.0061223191 @NP -> JJ NN
0.0058525760 @NP -> @NP SBAR
0.0052940158 @NP -> @NP CD
0.0052507934 @NP -> @NP NNS
0.0050032074 @NP -> @NP :
0.0044836278 @NP -> `` NP
0.0040725531 @NP -> DT CD
0.0034961466 @NP -> @NP VP
0.0034530796 @NP -> JJ JJ
0.0031570462 @NP -> PRP$ JJ
0.0031416538 @NP -> NP JJ
0.0029693865 @NP -> DT NNS
0.0029312305 @NP -> DT ADJP
0.0025832406 @NP -> @NP ''
0.0024964047 @NP -> @NP ADJP
0.0024799898 @NP -> NP NN
0.0024460517 @NP -> DT ``
0.0024087689 @NP -> @NP ``
0.0023625816 @NP -> PRP$ NN
0.0021874555 @NP -> NP NNP
0.0020397778 @NP -> NNP CC
0.0020285583 @NP -> NP ADJP
0.0018617594 @NP -> NNP CD
0.0018198237 @NP -> NP NP
0.0017757638 @NP -> JJ NNS
0.0017745828 @NP -> NP PRN
0.0017507217 @NP -> CD JJ
0.0016554556 @NP -> JJ NNP
0.0016486441 @NP -> NN NN
0.0014328119 @NP -> RB DT
0.0014266513 @NP -> NP ``
0.0013534389 @NP -> NP VP
0.5261950327 @PP -> @PP
0.0757514497 @PP -> ADVP IN
0.0564985303 @PP -> IN NP
0.0520507519 @PP -> RB IN
0.0386303879 @PP -> JJ IN
0.0369777060 @PP -> @PP NP
0.0330928725 @PP -> IN ``
0.0241371862 @PP -> IN IN
0.0235944131 @PP -> PP CC
0.0225078466 @PP -> PP ,
0.0170561872 @PP -> @PP ,
0.0164624315 @PP -> @PP CC
0.0161429561 @PP -> NP IN
0.0123053095 @PP -> @PP IN
0.0100781592 @PP -> @PP PP
0.0073534388 @PP -> IN CC
0.0056943315 @PP -> TO NP
0.0044950122 @PP -> @PP ADVP
