berkeley_neural_parser_result,item,condition,disambPosition,Sentence,,,,Ans,Ans,Type,,,,,,
"(S (PP (IN In) (NP (DT the) (NN lobby))) (, ,) (NP (NNP Clyde)) (VP (VBD bumped) (PP (IN into) (NP (NP (DT the) (NN chauffeur)) (PP (IN of) (NP (DT the) (NN CEO))) (SBAR (WHNP (WP who)) (S (VP (VBZ is) (ADJP (ADJP (JJ reckless)) (CC and) (ADJP (RB very) (JJ unpopular) (PP (IN with) (NP (DT the) (NN company))))))))))) (. .))",49,AttachMulti,13,"In the lobby, Clyde bumped into the chauffeur of the CEO who is reckless and very unpopular with the company .",Where was Clyde?,In the lobby,At the company\'s offices,1,1,Non-ambig,1,,,,,
"(S (PP (IN In) (NP (DT the) (NN lobby))) (, ,) (NP (NNP Clyde)) (VP (VBD bumped) (PP (IN into) (NP (NP (DT the) (NN chauffeur)) (PP (IN of) (NP (DT the) (NNS CEOs))) (SBAR (WHNP (WP who)) (S (VP (VBZ is) (ADJP (ADJP (JJ reckless)) (CC and) (ADJP (RB very) (JJ unpopular) (PP (IN with) (NP (DT the) (NN company))))))))))) (. .))",49,AttachHigh,13,"In the lobby, Clyde bumped into the chauffeur of the CEOs who is reckless and very unpopular with the company .",Where was Clyde?,In the lobby,At the company\'s offices,1,1,Non-ambig,,,1,,,
"(S (PP (IN In) (NP (DT the) (NN lobby))) (, ,) (NP (NNP Clyde)) (VP (VBD bumped) (PP (IN into) (NP (NP (DT the) (NNS chauffeurs)) (PP (IN of) (NP (DT the) (NN CEO))) (SBAR (WHNP (WP who)) (S (VP (VBZ is) (ADJP (ADJP (JJ reckless)) (CC and) (ADJP (RB very) (JJ unpopular) (PP (IN with) (NP (DT the) (NN company))))))))))) (. .))",49,AttachLow,13,"In the lobby, Clyde bumped into the chauffeurs of the CEO who is reckless and very unpopular with the company .",Where was Clyde?,In the lobby,At the company\'s offices,1,1,Non-ambig,,,,,1,
(S (NP (NNP Edwin)) (VP (VBZ has) (VP (VBN been) (VP (VBG reading) (PP (IN about) (NP (NP (DT the) (NN sister)) (PP (IN of) (NP (NP (DT the) (NN actor)) (SBAR (WHNP (WP who)) (S (VP (VBD was) (VP (VBG visiting) (NP (NP (DT the) (NN resort)) (PP (IN in) (NP (NNP Death) (NNP Valley))))))))))))))) (. .)),50,AttachMulti,12,Edwin has been reading about the sister of the actor who was visiting the resort in Death Valley.,Where was the resort?,The desert,The seaside,1,1,Non-ambig,,,,,1,
(S (NP (NNP Edwin)) (VP (VBZ has) (VP (VBN been) (VP (VBG reading) (PP (IN about) (NP (NP (DT the) (NN sister)) (PP (IN of) (NP (NP (DT the) (NNS actors)) (SBAR (WHNP (WP who)) (S (VP (VBD was) (VP (VBG visiting) (NP (NP (DT the) (NN resort)) (PP (IN in) (NP (NNP Death) (NNP Valley))))))))))))))) (. .)),50,AttachHigh,12,Edwin has been reading about the sister of the actors who was visiting the resort in Death Valley.,Where was the resort?,The desert,The seaside,1,1,Non-ambig,1,,,,,
(S (NP (NNP Edwin)) (VP (VBZ has) (VP (VBN been) (VP (VBG reading) (PP (IN about) (NP (NP (DT the) (NNS sisters)) (PP (IN of) (NP (NP (DT the) (NN actor)) (SBAR (WHNP (WP who)) (S (VP (VBD was) (VP (VBG visiting) (NP (NP (DT the) (NN resort)) (PP (IN in) (NP (NNP Death) (NNP Valley))))))))))))))) (. .)),50,AttachLow,12,Edwin has been reading about the sisters of the actor who was visiting the resort in Death Valley.,Where was the resort?,The desert,The seaside,1,1,Non-ambig,,,1,,,
"(S (PP (IN From) (NP (DT the) (NN gallery))) (, ,) (NP (NNP Franny)) (VP (VBD observed) (NP (NP (DT the) (NN nurse)) (PP (IN of) (NP (DT the) (NN surgeon))) (SBAR (WHNP (WP who)) (S (VP (VBD was) (PP (IN in) (NP (NP (NN charge)) (PP (IN of) (NP (NP (DT the) (NN operation)) (VP (ADVP (RB currently)) (VBG underway))))))))))) (. .))",51,AttachMulti,12,"From the gallery, Franny observed the nurse of the surgeon who was in charge of the operation currently underway .",Where was Franny?,The gallery,The operating room,1,1,Non-ambig,,,1,,,
"(S (PP (IN From) (NP (DT the) (NN gallery))) (, ,) (NP (NNP Franny)) (VP (VBD observed) (NP (NP (DT the) (NN nurse)) (PP (IN of) (NP (DT the) (NNS surgeons))) (SBAR (WHNP (WP who)) (S (VP (VBD was) (PP (IN in) (NP (NP (NN charge)) (PP (IN of) (NP (NP (DT the) (NN operation)) (VP (ADVP (RB currently)) (VBG underway))))))))))) (. .))",51,AttachHigh,12,"From the gallery, Franny observed the nurse of the surgeons who was in charge of the operation currently underway .",Where was Franny?,The gallery,The operating room,1,1,Non-ambig,,,,,1,
"(S (PP (IN From) (NP (DT the) (NN gallery))) (, ,) (NP (NNP Franny)) (VP (VBD observed) (NP (NP (DT the) (NNS nurses)) (PP (IN of) (NP (NP (DT the) (NN surgeon)) (SBAR (WHNP (WP who)) (S (VP (VBD was) (PP (IN in) (NP (NP (NN charge)) (PP (IN of) (NP (NP (DT the) (NN operation)) (VP (ADVP (RB currently)) (VBG underway))))))))))))) (. .))",51,AttachLow,12,"From the gallery, Franny observed the nurses of the surgeon who was in charge of the operation currently underway .",Where was Franny?,The gallery,The operating room,1,1,Non-ambig,1,,,,,
(S (NP (NNP Gerald)) (VP (VBD introduced) (NP (PRP himself)) (PP (TO to) (NP (NP (DT the) (NN niece)) (PP (IN of) (NP (NP (DT the) (NN billionaire)) (SBAR (WHNP (WP who)) (S (VP (VBZ sails) (NP (JJ vintage) (NNS yachts)) (PP (IN around) (NP (DT the) (NNP Vineyard))))))))))) (. .)),52,AttachMulti,11,Gerald introduced himself to the niece of the billionaire who sails vintage yachts around the Vineyard.,What kind of yachts were sailed?,Old ones,Contemporary ones,1,1,Non-ambig,,1,,,,
