berkeley_neural_parser_result,item,Main clause subject number,condition,disambPosition,Sentence,Question,Option1,Option0,Correct answer,Question target
"(S (SBAR (IN If) (S (NP (DT the) (NN supervisor)) (VP (VBZ changes)))) (, ,) (NP (DT the) (NNS schedules)) (VP (VBZ deserves) (NP (NP (JJ further) (NN inspection)) (PP (IN by) (NP (NP (DT the) (NN rest)) (PP (IN of) (NP (DT the) (NN staff))))))) (. .))",1,plural,UNAGREE,7,"If the supervisor changes, the schedules deserves further inspection by the rest of the staff .",Do the schedules ever deserve closer inspection?,Yes,No,1,Main clause
"(S (SBAR (IN If) (S (NP (DT the) (NN supervisor)) (VP (VBZ changes)))) (, ,) (NP (DT the) (NN schedule)) (VP (VBZ deserves) (NP (NP (JJ further) (NN inspection)) (PP (IN by) (NP (NP (DT the) (NN rest)) (PP (IN of) (NP (DT the) (NN staff))))))) (. .))",1,singular,AGREE,7,"If the supervisor changes, the schedule deserves further inspection by the rest of the staff .",Does the schedule ever deserve closer inspection?,Yes,No,1,Main clause
"(S (SBAR (WHADVP (WRB When)) (S (NP (DT the) (NN magician)) (VP (VBZ moves)))) (, ,) (NP (DT the) (NNS cards)) (VP (VBZ disappears) (ADVP (RB mysteriously)) (PP (IN from) (NP (NP (PRP$ his) (FW assistant\) (POS 's)) (NN hand)))) (. .))",3,plural,UNAGREE,7,"When the magician moves, the cards disappears mysteriously from his assistant 's hand .",Do the cards ever disappear?,Yes,No,1,Main clause
"(S (SBAR (WHADVP (WRB When)) (S (NP (DT the) (NN magician)) (VP (VBZ moves)))) (, ,) (NP (DT the) (NN card)) (VP (VBZ disappears) (ADVP (RB mysteriously)) (PP (IN from) (NP (NP (PRP$ his) (FW assistant\) (POS 's)) (NN hand)))) (. .))",3,singular,AGREE,7,"When the magician moves, the card disappears mysteriously from his assistant 's hand .",Does the card ever disappear?,Yes,No,1,Main clause
"(S (SBAR (WHADVP (WRB Whenever)) (S (NP (DT the) (NN lawyer)) (VP (VBZ leaves)))) (, ,) (NP (PRP$ his) (NNS clients)) (VP (VBZ appears) (ADJP (RB increasingly) (JJ uncomfortable)) (PP (IN in) (NP (DT the) (NN courtroom)))) (. .))",5,plural,UNAGREE,7,"Whenever the lawyer leaves, his clients appears increasingly uncomfortable in the courtroom .",Do the clients always look comfortable in the courtroom?,Yes,No,0,Main clause
"(S (SBAR (WHADVP (WRB Whenever)) (S (NP (DT the) (NN lawyer)) (VP (VBZ leaves)))) (, ,) (NP (PRP$ his) (NN client)) (VP (VBZ appears) (ADJP (RB increasingly) (JJ uncomfortable)) (PP (IN in) (NP (DT the) (NN courtroom)))) (. .))",5,singular,AGREE,7,"Whenever the lawyer leaves, his client appears increasingly uncomfortable in the courtroom .",Does the client always look comfortable in the courtroom?,Yes,No,0,Main clause
"(S (SBAR (IN After) (S (NP (DT the) (JJ esteemed) (NN reviewer)) (VP (VBZ reads)))) (, ,) (NP (DT the) (NNS books)) (VP (VBZ gains) (NP (JJR more) (NN attention)) (ADVP (JJ due) (PP (TO to) (NP (PRP$ his) (JJ glowing) (NN praise))))) (. .))",6,plural,UNAGREE,8,"After the esteemed reviewer reads, the books gains more attention due to his glowing praise .",Does the esteemed reviewer like the books?,Yes,No,1,Main clause
"(S (SBAR (IN After) (S (NP (DT the) (JJ esteemed) (NN reviewer)) (VP (VBZ reads)))) (, ,) (NP (DT the) (NN book)) (VP (VBZ gains) (NP (JJR more) (NN attention)) (ADVP (JJ due) (PP (TO to) (NP (PRP$ his) (JJ glowing) (NN praise))))) (. .))",6,singular,AGREE,8,"After the esteemed reviewer reads, the book gains more attention due to his glowing praise .",Does the esteemed reviewer like the book?,Yes,No,1,Main clause
"(S (SBAR (WHADVP (WRB Whenever)) (S (NP (DT the) (NN nurse)) (VP (VBZ calls)))) (, ,) (NP (DT the) (NNS doctors)) (VP (VBZ stops) (S (VP (VBG working))) (ADVP (RB immediately)) (S (VP (TO to) (VP (VB check) (PP (IN on) (NP (DT the) (NN patient))))))) (. .))",7,plural,UNAGREE,7,"Whenever the nurse calls, the doctors stops working immediately to check on the patient .",Does the nurse call the patient?,Yes,No,0,Both
"(S (SBAR (WHADVP (WRB Whenever)) (S (NP (DT the) (NN nurse)) (VP (VBZ calls)))) (, ,) (NP (DT the) (NN doctor)) (VP (VBZ stops) (S (VP (VBG working))) (ADVP (RB immediately)) (S (VP (TO to) (VP (VB check) (PP (IN on) (NP (DT the) (NN patient))))))) (. .))",7,singular,AGREE,7,"Whenever the nurse calls, the doctor stops working immediately to check on the patient .",Does the nurse call the patient?,Yes,No,0,Both
"(S (SBAR (WHADVP (WRB When)) (S (NP (DT the) (NN lecturer)) (VP (VBZ stops)))) (, ,) (NP (PRP$ her) (NNS audiences)) (VP (VBZ needs) (NP (JJ several) (NNS minutes)) (S (VP (TO to) (VP (VB reflect) (PP (IN on) (NP (DT the) (NN content))))))) (. .))",8,plural,UNAGREE,7,"When the lecturer stops, her audiences needs several minutes to reflect on the content .",Does the lecturer stop her audiences?,Yes,No,0,Ambiguity (incorrect)
"(S (SBAR (WHADVP (WRB When)) (S (NP (DT the) (NN lecturer)) (VP (VBZ stops)))) (, ,) (NP (PRP$ her) (NN audience)) (VP (VBZ needs) (NP (JJ several) (NNS minutes)) (S (VP (TO to) (VP (VB reflect) (PP (IN on) (NP (DT the) (NN content))))))) (. .))",8,singular,AGREE,7,"When the lecturer stops, her audience needs several minutes to reflect on the content .",Does the lecturer stop her audience?,Yes,No,0,Ambiguity (incorrect)
"(S (SBAR (WHADVP (WRB When)) (S (NP (DT the) (NN actress)) (VP (VBZ begins)))) (, ,) (NP (DT the) (NNS scenes)) (VP (VBZ fails) (ADVP (RB dramatically)) (PP (IN despite) (NP (NP (DT the) (NNS months)) (SBAR (S (NP (PRP she)) (VP (VBD spent) (S (VP (VBG rehearsing))))))))) (. .))",9,plural,UNAGREE,7,"When the actress begins, the scenes fails dramatically despite the months she spent rehearsing .",Did the actress rehearse extensively?,Yes,No,1,Main clause
"(S (SBAR (WHADVP (WRB When)) (S (NP (DT the) (NN actress)) (VP (VBZ begins)))) (, ,) (NP (DT the) (NN scene)) (VP (VBZ fails) (ADVP (RB dramatically)) (PP (IN despite) (NP (NP (DT the) (NNS months)) (SBAR (S (NP (PRP she)) (VP (VBD spent) (S (VP (VBG rehearsing))))))))) (. .))",9,singular,AGREE,7,"When the actress begins, the scene fails dramatically despite the months she spent rehearsing .",Did the actress rehearse extensively?,Yes,No,1,Main clause
"(S (SBAR (IN After) (S (NP (DT the) (JJS worst) (NN team)) (VP (VBZ loses)))) (, ,) (NP (DT the) (NNS tournaments)) (VP (VBZ remains) (NP (RB essentially) (DT the) (JJ same)) (PP (IN for) (NP (NP (DT the) (NN rest)) (PP (IN of) (NP (DT the) (NN year)))))) (. .))",10,plural,UNAGREE,8,"After the worst team loses, the tournaments remains essentially the same for the rest of the year .",Does the loss of the worst team matter to the tournaments?,Yes,No,0,Both
"(S (SBAR (IN After) (S (NP (DT the) (JJS worst) (NN team)) (VP (VBZ loses)))) (, ,) (NP (DT the) (NN tournament)) (VP (VBZ remains) (NP (RB essentially) (DT the) (JJ same)) (PP (IN for) (NP (NP (DT the) (NN rest)) (PP (IN of) (NP (DT the) (NN year)))))) (. .))",10,singular,AGREE,8,"After the worst team loses, the tournament remains essentially the same for the rest of the year .",Does the loss of the worst team matter to the tournament?,Yes,No,0,Both
